TDS (mg/l),Turbidity (NTU),pH,Depth (m),Flow Discharge (L/min),Filter Life Span (hours),Filter Efficiency (%)
32.245,3.71,7.097,3.713,67.722,4301.356,88.449
287.147,1.67,7.296,4.925,82.511,4145.025,86.126
311.015,2.74,6.262,0.509,39.094,4504.515,90.476
252.871,2.39,6.184,4.48,72.117,4080.304,85.799
408.551,4.987,6.08,3.261,11.309,4105.648,87.44
430.504,2.915,6.642,0.511,33.465,4485.136,90.391
307.812,5.161,8.304,2.595,68.581,4321.812,89.08
6.378,6.693,6.975,3.953,93.247,4077.785,86.853
347.615,7.773,7.91,1.321,61.94,4272.52,89.438
209.0,7.102,6.475,3.553,37.02,4058.614,87.346
282.779,2.056,6.162,1.129,32.055,4495.024,90.246
324.54,1.159,7.386,4.116,39.763,4327.27,88.223
175.118,5.425,8.055,3.058,65.637,4309.656,89.068
458.549,1.989,8.246,0.652,33.372,4663.891,91.902
66.987,0.849,7.366,0.909,47.53,4774.637,92.526
335.756,5.271,6.735,4.387,76.141,3951.062,85.33
2.18,3.268,6.274,0.649,24.54,4648.96,92.225
462.326,7.561,7.67,1.843,71.934,4129.505,87.844
56.252,3.142,6.701,3.051,76.384,4327.008,88.449
47.442,9.787,8.11,1.46,86.504,4278.855,89.86
166.504,7.585,7.513,1.509,3.363,4431.136,91.553
186.783,0.577,8.147,3.992,12.262,4568.741,90.738
107.15,5.089,7.417,1.809,95.529,4361.646,89.188
292.561,5.626,7.929,0.674,13.452,4571.078,92.264
221.457,6.953,6.736,3.745,49.299,4042.093,87.014
17.088,4.978,7.258,4.795,17.528,4253.802,88.856
159.826,4.834,6.049,4.244,81.377,3996.093,85.597
405.216,3.679,7.52,2.969,10.554,4347.42,89.472
344.851,2.715,7.334,2.412,9.476,4465.129,90.371
362.435,9.462,7.888,4.663,50.966,3866.247,85.991
349.058,3.176,7.822,3.948,24.58,4304.95,88.756
155.487,0.634,7.569,3.068,66.494,4507.666,89.602
49.832,1.673,6.142,4.459,68.795,4222.103,87.035
136.234,8.573,8.258,3.208,59.019,4190.189,88.884
415.893,5.866,6.045,4.881,83.629,3747.907,83.403
490.235,7.788,8.008,4.362,70.038,3890.003,85.536
246.924,8.088,7.198,2.977,19.564,4155.155,88.782
4.85,8.232,8.045,4.653,8.762,4207.654,89.459
70.022,5.506,7.163,2.041,75.029,4351.795,89.42
161.04,1.771,7.617,3.654,74.262,4378.713,88.576
289.293,1.482,6.908,1.271,85.182,4474.616,89.339
37.547,5.74,7.859,4.529,21.032,4285.175,89.363
471.679,3.665,6.635,1.616,23.092,4336.642,89.235
182.542,5.58,7.798,4.771,58.09,4116.298,87.256
456.292,4.985,6.483,0.576,16.406,4380.502,90.136
390.261,6.022,7.805,3.568,30.337,4166.811,88.171
377.719,0.321,6.734,1.175,81.431,4488.116,89.163
303.36,0.328,6.697,3.969,34.087,4336.521,88.123
313.392,7.216,8.029,2.714,2.122,4309.779,90.241
319.002,1.931,8.034,4.593,65.432,4257.153,87.497
314.361,6.522,7.729,3.718,18.878,4180.034,88.568
276.864,5.466,8.31,3.957,20.387,4282.763,89.263
493.207,9.818,6.39,1.042,2.636,4092.059,88.84
366.145,8.354,6.673,0.935,58.225,4156.652,88.49
388.473,4.131,6.735,4.328,56.629,4026.692,85.94
436.231,6.164,6.763,1.516,10.547,4277.307,89.517
107.82,1.173,6.82,4.401,5.993,4417.344,89.465
41.902,3.864,7.743,1.141,49.593,4646.781,92.131
241.447,7.339,6.677,1.888,78.348,4134.523,87.763
257.04,6.227,6.715,4.679,95.42,3872.851,84.642
414.591,4.845,7.426,4.279,8.44,4148.319,87.852
221.892,1.765,6.483,0.744,71.109,4532.502,90.144
285.427,8.031,6.912,2.516,19.953,4155.385,88.764
263.535,2.732,6.145,4.594,4.364,4177.966,87.556
19.101,8.205,8.381,0.566,34.142,4593.421,93.054
307.607,6.116,6.793,0.983,57.814,4305.796,89.315
414.022,3.727,8.125,3.403,60.534,4257.728,88.09
78.75,0.406,7.325,0.972,5.871,4863.824,93.701
297.166,2.324,6.571,2.52,92.852,4254.58,87.315
296.805,8.891,6.484,2.785,6.404,4064.09,88.244
82.092,8.18,7.737,4.371,22.502,4141.588,88.645
61.732,5.749,8.412,4.808,43.818,4254.463,88.831
490.026,4.663,6.458,2.805,94.62,3997.85,85.431
196.86,6.471,6.289,2.797,99.132,4028.928,86.239
113.711,4.662,6.968,3.771,1.035,4327.668,89.665
85.662,6.443,6.985,1.366,23.227,4450.387,91.205
333.801,3.074,8.016,4.734,50.634,4206.307,87.479
304.723,8.385,7.172,0.505,69.745,4255.583,89.374
321.776,7.019,6.156,0.508,66.018,4220.925,88.655
44.003,3.3,8.302,3.315,25.9,4559.829,91.329
446.767,8.307,6.933,2.037,20.554,4109.804,88.385
194.633,4.873,7.671,2.292,2.413,4492.167,91.36
156.685,1.746,7.669,1.496,84.443,4582.677,90.506
231.181,0.777,6.141,2.335,38.501,4449.126,89.339
195.033,6.996,6.009,4.226,86.57,3857.85,84.812
431.789,8.651,6.22,3.647,33.047,3842.799,85.693
464.63,8.074,8.391,0.926,75.847,4258.807,89.252
151.727,6.557,7.985,0.755,7.896,4603.511,92.923
431.968,1.414,6.33,2.778,81.333,4205.88,86.67
390.762,0.94,7.537,3.786,89.21,4254.322,86.933
465.404,3.45,7.53,3.49,27.223,4244.31,88.206
122.875,8.549,6.001,4.389,15.045,3942.306,86.837
288.48,9.617,7.073,1.1,20.418,4231.352,89.995
137.272,2.414,7.779,3.226,86.911,4392.217,88.777
412.047,7.621,6.467,3.947,29.334,3906.251,86.055
2.662,5.739,8.127,4.72,23.904,4304.624,89.529
282.41,0.318,7.651,0.954,97.909,4616.752,90.284
169.602,5.429,6.017,1.578,67.331,4252.971,88.485
161.342,8.059,8.137,2.096,83.39,4253.741,89.121
322.453,2.761,6.049,2.933,74.958,4162.308,86.702
425.742,8.974,8.22,2.339,38.027,4150.5,88.817
304.598,2.363,6.834,4.375,86.412,4102.674,85.871
426.586,0.765,7.747,4.777,59.229,4226.938,86.907
132.299,1.599,7.969,0.815,66.082,4737.039,92.189
259.751,8.37,6.703,3.649,33.282,3990.521,87.083
225.268,4.173,6.891,1.014,98.135,4370.129,88.972
5.822,7.969,7.274,4.541,85.606,4000.71,86.542
278.406,5.312,7.457,1.139,15.663,4495.582,91.393
330.762,4.806,6.73,4.962,21.184,4028.802,86.518
295.957,8.069,8.481,2.425,75.11,4203.956,88.709
368.14,4.235,7.843,2.219,3.549,4459.467,90.83
285.67,8.02,6.685,3.138,34.21,4042.441,87.488
33.375,1.007,7.601,2.275,53.719,4658.19,91.347
58.223,6.363,7.088,1.556,21.286,4463.391,91.33
298.237,7.026,8.151,3.331,87.442,4106.671,87.3
137.49,8.991,6.822,3.778,89.038,3908.105,85.888
39.823,2.243,6.47,4.754,95.728,4148.04,86.196
214.801,6.042,6.115,2.341,15.487,4236.947,89.027
277.161,4.333,8.461,3.676,8.849,4405.572,90.267
164.373,3.828,6.898,4.251,56.053,4179.005,87.378
360.217,1.067,6.551,4.241,79.451,4138.64,85.912
321.885,1.342,7.229,0.654,29.815,4669.832,91.803
166.409,8.37,6.729,2.101,24.856,4211.433,89.377
377.436,7.498,6.582,0.56,52.254,4234.083,89.068
324.348,3.823,7.541,3.016,48.724,4301.719,88.677
318.723,8.285,6.187,4.393,48.475,3808.866,85.089
276.714,0.808,7.272,4.167,41.122,4349.55,88.327
5.695,6.248,6.969,4.151,72.979,4120.604,87.351
348.254,8.682,7.331,2.083,61.854,4092.883,87.915
188.021,8.389,6.801,0.708,49.294,4297.232,89.996
471.305,3.728,7.426,1.276,72.349,4348.25,88.877
408.992,7.452,6.205,3.518,26.908,3937.715,86.344
293.847,4.275,6.94,1.102,89.292,4344.569,88.835
126.091,8.401,6.594,1.064,39.033,4291.797,90.048
101.859,5.308,7.095,2.092,33.432,4417.195,90.43
170.192,7.649,6.996,0.925,54.685,4330.148,90.049
238.284,0.786,7.578,1.984,27.771,4645.424,91.412
148.033,5.9,7.572,4.864,27.605,4146.588,87.96
257.465,5.503,7.033,0.59,8.71,4523.07,91.794
82.685,6.1,6.454,4.237,65.542,4044.247,86.617
488.856,6.956,7.455,4.971,91.36,3773.379,83.907
53.962,9.181,8.416,2.464,68.841,4271.529,89.781
465.972,7.857,6.464,4.744,57.206,3731.747,84.102
456.789,2.196,6.173,1.675,71.467,4268.602,87.63
262.68,8.259,6.661,4.92,96.679,3736.461,83.876
362.455,1.221,7.032,4.377,34.313,4254.639,87.569
218.024,6.222,6.765,4.481,43.638,4021.045,86.641
315.017,8.828,8.087,1.087,29.336,4342.441,90.779
170.288,1.011,7.233,4.415,2.655,4440.713,89.684
150.58,8.497,6.615,4.738,35.395,3916.785,86.363
289.115,7.986,8.375,4.186,8.09,4158.93,88.904
249.065,5.038,6.313,0.911,85.981,4291.769,88.569
289.768,3.089,6.307,0.881,71.845,4399.555,89.204
143.33,4.054,6.613,2.109,31.099,4413.816,90.043
183.479,9.687,6.192,3.672,33.467,3908.975,86.661
41.949,2.017,7.879,0.556,57.391,4795.705,92.988
26.138,5.796,6.782,4.778,80.005,4037.531,86.314
126.729,0.832,7.825,2.865,72.152,4546.719,89.995
37.123,2.179,7.907,2.113,3.853,4744.203,93.057
51.887,7.633,6.594,3.026,78.744,4091.736,87.42
406.464,3.026,7.296,3.721,88.252,4126.451,86.29
19.437,9.858,7.299,1.73,9.899,4334.523,91.204
329.471,5.008,8.178,1.81,77.236,4367.219,89.402
136.279,5.165,6.064,2.607,25.921,4267.477,88.965
435.773,0.363,6.792,3.515,18.197,4355.293,88.48
242.496,9.565,8.206,3.679,54.844,4043.557,87.757
152.788,1.742,6.592,1.958,55.715,4488.435,89.85
258.819,5.383,6.342,1.951,47.617,4245.285,88.592
190.979,3.957,7.44,2.692,90.279,4300.952,88.294
282.151,4.156,6.765,2.939,24.92,4283.897,88.837
57.266,6.433,7.168,3.422,60.652,4203.0,88.353
498.495,6.621,8.05,3.28,41.577,4113.588,87.706
212.778,1.543,7.302,2.176,87.504,4454.0,89.128
174.115,4.996,7.29,1.836,14.149,4480.225,91.16
355.105,7.905,6.695,1.886,9.209,4189.773,89.177
181.95,4.433,7.982,3.404,99.283,4246.601,87.803
416.637,1.658,7.85,2.449,58.143,4432.53,89.241
227.135,3.132,6.585,1.105,91.282,4395.332,88.98
359.779,2.124,6.8,0.527,41.413,4558.429,90.807
53.727,1.258,7.972,0.634,60.825,4822.38,92.993
423.06,3.776,6.894,4.404,69.715,4009.297,85.529
367.859,5.409,7.009,2.56,98.625,4093.22,86.569
105.858,0.728,6.911,3.458,12.161,4531.634,90.413
72.643,6.038,6.404,4.681,13.353,4107.401,87.752
158.146,9.93,6.852,1.068,52.797,4197.219,89.423
488.035,9.641,8.007,2.514,6.524,4110.178,88.929
128.416,8.292,7.228,2.926,73.02,4105.353,87.811
228.064,2.663,7.146,4.287,99.085,4140.492,86.213
15.01,0.224,6.391,4.972,81.332,4260.541,86.859
198.614,8.335,6.444,3.703,27.315,4003.429,87.262
285.66,0.557,6.107,3.388,80.157,4240.909,86.775
476.562,2.056,6.035,4.641,63.16,3971.934,84.705
258.368,5.445,7.22,4.268,12.823,4168.126,88.186
409.554,1.784,7.023,4.393,57.026,4155.019,86.515
273.564,8.338,6.688,0.512,89.781,4184.389,88.447
20.393,7.772,8.475,2.815,29.702,4407.836,91.113
157.504,7.558,6.995,4.022,66.252,4008.131,86.686
287.775,8.161,7.972,1.317,5.115,4403.375,91.431
475.297,2.197,6.526,3.882,83.587,4049.809,85.321
429.565,7.289,6.618,0.541,21.388,4285.634,89.829
114.178,3.553,7.421,3.088,61.254,4376.035,89.214
110.055,6.668,6.01,4.331,52.895,3973.669,86.208
100.586,1.22,6.044,2.441,55.265,4438.416,89.198
461.249,7.056,6.356,3.828,26.12,3917.143,86.027
426.333,9.721,6.558,2.887,56.352,3855.176,85.905
387.442,0.436,7.32,3.413,60.672,4353.816,88.062
196.368,0.938,7.716,2.825,43.12,4557.718,90.427
252.19,1.236,6.78,2.641,63.692,4398.545,88.719
232.166,4.306,6.598,4.287,19.966,4159.739,87.689
126.699,2.908,8.057,0.917,51.747,4701.735,92.372
252.514,8.069,6.407,3.131,71.963,3953.957,86.241
15.248,4.738,7.696,1.017,37.432,4648.536,92.532
65.905,4.845,8.328,3.033,41.703,4470.941,90.746
443.295,7.17,6.581,4.836,17.256,3859.756,85.576
375.84,3.62,6.217,0.757,62.028,4353.086,88.996
211.434,3.532,8.449,2.399,13.228,4596.259,91.89
258.575,7.569,6.677,4.109,50.58,3947.896,86.244
184.999,7.8,6.689,2.164,21.832,4226.371,89.386
370.39,0.144,7.209,2.841,20.219,4503.97,89.881
392.094,1.438,6.578,1.016,10.487,4567.23,90.999
381.643,2.131,8.482,1.504,36.382,4627.7,91.552
361.306,3.516,6.107,3.589,86.874,4021.65,85.403
102.252,2.914,7.129,4.229,60.886,4271.381,87.979
168.985,6.685,7.371,3.409,78.132,4121.165,87.436
234.923,8.281,7.167,4.266,12.343,4033.909,87.7
165.396,1.921,7.301,3.225,32.018,4464.807,89.904
377.47,5.63,8.469,4.146,39.473,4183.13,88.126
164.677,3.678,8.192,4.923,86.141,4188.398,87.126
69.116,5.058,6.771,0.873,66.775,4468.842,90.538
199.52,6.208,7.379,2.658,49.557,4262.773,88.994
489.957,8.936,6.001,1.355,30.748,4011.352,87.487
112.941,1.923,7.024,2.594,76.235,4437.953,89.194
306.079,0.87,6.41,2.748,88.944,4291.723,87.289
216.487,6.272,7.778,3.299,54.144,4217.837,88.519
35.512,3.941,6.553,2.477,5.299,4482.168,90.951
243.938,1.629,7.872,1.961,27.913,4631.856,91.528
351.082,1.171,6.783,0.694,74.835,4525.11,89.854
256.61,5.589,8.315,0.657,39.373,4579.295,92.076
436.053,3.005,7.114,1.288,62.966,4388.407,89.156
144.469,9.974,8.099,2.52,52.928,4181.033,89.273
43.125,4.059,7.57,2.379,90.864,4412.919,89.438
468.283,2.123,8.443,1.358,31.393,4605.466,91.378
189.098,6.288,7.857,4.201,45.16,4166.335,88.098
288.203,2.443,7.819,3.576,7.413,4443.299,90.092
396.002,4.941,6.662,2.044,80.691,4155.366,87.229
162.157,4.826,7.262,4.086,33.256,4228.7,88.402
358.082,4.536,6.725,4.952,72.471,3926.605,84.902
67.709,7.961,6.048,1.603,1.3,4310.056,90.476
145.647,2.166,7.776,2.132,86.876,4509.599,89.877
72.355,9.043,6.59,4.968,97.224,3779.376,84.534
405.615,7.913,6.993,1.12,47.526,4193.754,88.836
111.325,3.331,6.712,0.847,48.778,4566.646,91.178
358.702,1.806,6.499,2.844,62.02,4271.77,87.639
471.649,2.795,6.168,2.608,97.536,4085.323,85.716
263.886,3.326,6.845,0.852,56.299,4488.383,90.319
270.015,5.569,6.204,1.805,8.312,4309.823,89.686
230.517,0.464,7.351,2.385,56.952,4544.212,90.012
162.945,9.144,6.049,4.2,42.486,3861.288,85.931
237.828,0.987,8.35,3.685,76.325,4445.575,88.989
301.404,2.793,8.416,4.615,31.031,4327.682,88.804
492.996,1.093,6.762,1.996,92.522,4290.353,87.306
468.882,2.567,6.65,1.892,80.208,4252.636,87.494
431.076,8.377,6.261,2.584,33.33,3966.634,86.846
444.565,6.152,8.262,0.534,35.847,4471.277,91.2
233.925,2.273,7.467,1.433,52.264,4568.27,90.842
328.722,8.718,7.525,1.452,10.86,4285.409,90.361
447.533,8.007,8.24,0.775,69.322,4283.707,89.546
196.475,7.536,8.277,2.548,61.305,4275.215,89.4
480.881,8.476,8.071,4.575,32.552,3920.241,86.42
207.893,6.196,7.934,0.518,64.167,4499.442,91.212
300.541,5.014,8.193,3.328,10.726,4364.082,90.038
354.902,3.739,8.19,4.457,95.253,4118.368,86.353
475.296,2.238,6.922,0.984,7.63,4528.986,90.885
122.308,5.574,8.433,4.628,33.555,4273.612,89.073
373.065,8.895,7.773,4.183,97.083,3833.504,85.033
260.408,5.94,6.926,1.466,40.437,4337.926,89.757
134.279,9.196,7.105,4.574,88.675,3848.816,85.36
388.303,3.569,7.718,4.118,15.939,4255.487,88.466
276.111,6.951,6.903,1.001,7.607,4389.311,90.902
330.487,6.487,8.066,4.238,11.709,4169.875,88.528
161.451,6.704,6.37,2.94,97.233,4032.625,86.365
240.637,6.45,8.269,4.172,9.789,4247.299,89.31
308.677,2.217,6.753,3.279,65.522,4251.14,87.521
202.455,1.436,6.382,2.263,44.619,4449.581,89.48
99.186,9.786,8.145,3.205,86.219,4082.648,87.9
480.82,0.453,6.599,3.363,30.137,4300.253,87.837
255.734,4.677,8.108,3.948,3.862,4346.596,89.831
366.96,4.251,6.741,4.238,75.111,4004.016,85.564
205.524,3.6,8.335,3.484,59.287,4383.676,89.324
177.566,7.82,6.548,4.953,44.016,3891.621,85.822
203.582,7.454,6.174,4.003,32.979,3976.641,86.673
204.598,9.052,8.341,4.598,90.044,3939.288,86.208
272.09,3.955,6.414,1.938,13.058,4387.729,89.933
271.735,5.642,8.36,1.923,14.994,4495.785,91.5
248.577,8.923,8.06,2.131,2.468,4317.565,90.828
67.393,9.938,6.205,2.479,8.184,4125.621,89.156
248.038,9.693,7.113,4.826,85.871,3748.246,84.532
84.552,7.178,6.183,0.831,79.571,4274.92,89.107
63.068,1.432,6.824,2.743,11.14,4582.72,91.145
466.323,0.232,6.879,1.225,78.202,4464.196,88.929
302.475,8.252,7.499,4.149,64.464,3942.232,86.253
329.745,8.409,8.44,0.64,39.361,4415.893,91.288
200.897,7.464,6.424,2.548,9.336,4195.325,89.099
454.49,2.799,6.823,2.276,60.633,4266.182,87.895
318.965,6.398,7.468,0.915,84.128,4307.647,89.155
384.585,3.162,6.429,2.195,42.65,4287.615,88.398
184.281,4.506,7.777,4.141,43.014,4260.12,88.523
480.006,3.824,7.009,1.119,82.842,4292.148,88.24
410.231,9.136,8.374,4.926,21.849,3939.183,86.914
426.974,2.342,7.575,0.763,18.074,4614.449,91.666
86.097,5.776,6.908,1.801,69.862,4339.095,89.425
135.482,3.61,7.799,3.987,65.99,4300.952,88.433
142.813,6.631,8.097,2.109,91.301,4313.261,89.209
135.455,5.646,8.001,2.662,34.091,4415.77,90.51
427.704,9.24,6.657,1.34,20.998,4113.858,88.701
15.942,1.016,7.042,3.72,43.454,4486.587,89.736
38.05,2.206,7.13,1.308,38.995,4674.915,92.021
136.957,7.663,6.971,4.319,93.871,3925.771,85.618
99.936,3.688,6.777,2.928,91.843,4266.893,87.857
115.93,1.658,7.882,2.967,43.387,4563.886,90.702
398.972,5.033,6.031,4.701,41.837,3898.155,85.073
281.563,6.521,6.734,3.978,45.054,4018.575,86.692
2.885,0.448,6.354,3.844,73.359,4380.418,88.205
214.661,2.916,6.322,4.361,55.456,4132.021,86.641
203.942,8.094,6.692,0.913,29.505,4312.23,90.256
56.973,5.202,7.905,3.767,77.104,4271.001,88.5
338.071,0.354,8.424,1.549,90.479,4619.729,90.399
351.049,2.82,7.287,1.764,72.058,4391.613,89.041
360.447,6.391,6.847,0.568,20.271,4387.592,90.591
364.235,1.994,8.073,4.522,79.386,4214.549,86.95
0.026,8.274,6.168,3.826,98.906,3922.654,85.72
476.96,6.766,6.233,1.127,68.83,4096.184,87.303
407.104,4.714,6.863,1.976,25.145,4299.245,89.155
451.991,9.156,7.121,2.66,1.549,4059.227,88.324
7.822,3.918,7.995,2.723,39.155,4549.078,91.275
466.929,2.351,8.313,3.18,47.555,4367.161,88.901
404.894,6.614,7.328,2.625,91.056,4055.076,86.624
418.61,5.733,7.239,3.419,62.348,4061.372,86.71
46.644,3.352,6.533,4.477,28.88,4256.804,88.285
369.389,3.437,7.128,2.291,69.481,4288.173,88.218
479.958,3.982,8.309,4.445,10.127,4227.053,88.364
339.274,2.911,6.982,1.488,22.13,4489.935,90.551
285.281,7.102,6.527,1.046,74.705,4200.879,88.392
472.815,6.514,6.843,1.577,30.426,4203.655,88.686
221.469,4.408,7.286,1.43,4.083,4546.393,91.745
299.647,3.979,7.496,4.933,50.18,4107.25,86.764
238.169,3.651,7.081,2.215,66.147,4352.729,88.961
466.423,2.835,7.896,3.432,79.113,4213.299,87.192
38.042,0.857,7.461,3.632,31.297,4558.426,90.528
250.56,2.682,7.663,2.503,43.033,4470.47,90.079
343.476,3.212,8.157,1.506,56.1,4520.585,90.608
395.953,5.477,8.164,2.471,8.392,4380.674,90.366
291.509,7.738,6.509,2.632,20.567,4113.902,88.255
454.459,3.957,7.558,4.793,37.556,4076.34,86.575
470.996,9.448,7.792,3.059,27.451,4010.502,87.665
32.16,8.273,6.365,4.864,47.117,3926.032,86.271
201.185,9.848,8.107,3.095,65.423,4077.333,88.074
11.73,8.762,6.451,1.152,54.429,4277.044,89.855
164.708,6.167,7.998,2.23,77.647,4330.84,89.382
268.434,5.985,6.404,4.065,63.009,3974.351,85.909
455.397,1.295,7.854,2.397,29.899,4493.454,90.024
423.277,7.224,6.37,0.949,12.877,4243.565,89.474
63.75,6.002,6.947,0.932,64.329,4440.836,90.566
46.515,5.069,6.359,1.567,21.983,4458.51,90.886
294.634,6.933,6.677,3.041,32.548,4104.475,87.799
266.059,4.44,8.461,4.236,79.725,4208.055,87.615
133.189,5.239,6.269,2.902,22.771,4262.681,88.971
449.727,3.984,7.016,3.857,54.246,4083.349,86.486
463.683,7.174,7.692,3.405,10.388,4117.411,88.222
201.306,8.766,6.236,2.858,42.237,4014.372,87.351
445.151,8.408,6.273,1.467,98.047,3941.502,85.957
191.974,7.86,6.358,4.474,95.484,3808.422,84.487
368.408,0.138,7.612,1.741,94.713,4506.651,89.161
237.971,9.119,8.273,1.638,59.921,4268.797,89.824
61.292,2.749,8.065,1.66,30.175,4712.055,92.643
463.967,8.88,8.458,0.931,36.14,4304.454,90.347
227.048,1.97,7.445,2.744,21.398,4515.335,90.53
367.244,4.396,8.404,1.974,10.662,4518.212,91.394
183.587,7.494,6.762,2.849,17.716,4189.434,88.965
9.44,6.403,7.054,2.539,47.259,4332.097,89.769
50.265,4.159,6.99,2.839,3.676,4474.658,90.958
248.11,6.786,6.118,1.839,93.98,4076.568,86.862
344.982,5.489,8.074,4.168,56.601,4130.447,87.385
167.368,2.757,6.062,2.904,18.179,4357.884,89.224
347.744,6.463,7.825,1.438,42.218,4357.201,90.089
349.318,2.042,7.018,4.558,38.252,4192.667,87.157
351.968,6.94,6.016,0.993,83.7,4111.93,87.364
246.261,0.031,6.725,3.8,12.929,4441.897,89.299
457.443,5.488,6.865,3.553,43.557,4041.008,86.621
244.598,4.011,8.412,0.828,71.42,4592.717,91.416
225.133,3.031,7.653,4.557,37.946,4269.582,88.226
99.69,5.157,7.359,1.923,36.402,4463.05,90.814
153.828,6.453,6.318,3.834,34.703,4079.384,87.383
21.167,9.653,6.978,1.747,76.439,4177.008,88.902
316.768,8.331,6.089,2.866,12.811,4021.842,87.589
124.268,7.171,7.904,4.876,85.814,4010.535,86.399
152.078,4.79,6.407,3.248,8.018,4284.287,89.2
385.407,3.921,7.486,1.833,32.581,4411.325,89.964
163.611,0.325,7.748,2.563,39.516,4641.477,91.117
121.098,3.591,6.916,3.542,39.965,4317.381,88.851
84.529,8.484,7.581,2.503,19.58,4302.201,90.371
387.429,3.84,7.911,4.598,60.713,4124.069,86.786
64.853,4.616,6.46,4.404,45.904,4150.647,87.432
226.877,2.718,7.502,1.161,57.19,4570.415,90.948
253.465,2.741,7.835,4.032,61.877,4292.695,88.131
343.695,0.619,6.893,4.741,19.942,4272.507,87.711
316.642,6.138,6.406,1.926,92.109,4098.574,86.906
405.36,4.481,6.715,1.572,83.179,4221.257,87.725
22.376,6.06,8.333,0.543,83.012,4598.761,91.975
148.22,5.469,6.894,1.02,53.634,4432.495,90.429
140.067,7.988,6.269,4.824,82.185,3810.688,84.682
73.008,7.51,6.207,2.26,63.121,4156.425,88.186
144.589,7.715,6.451,2.243,45.605,4171.589,88.574
154.883,4.992,6.319,1.7,75.494,4283.825,88.581
260.942,3.539,7.238,1.238,60.394,4471.734,90.175
331.852,9.334,6.869,2.79,1.199,4072.889,88.517
190.55,0.543,8.104,3.754,99.703,4413.1,88.297
359.735,1.526,8.203,2.979,43.555,4479.123,89.814
168.083,4.196,7.183,0.66,57.601,4543.324,91.116
145.142,6.14,8.221,4.116,41.188,4248.645,88.916
270.594,0.082,7.126,4.692,10.93,4382.141,88.737
11.858,7.193,7.605,2.482,83.567,4279.597,89.118
39.895,5.587,6.406,2.149,68.573,4289.268,88.883
208.985,4.847,6.131,1.534,83.023,4246.821,88.092
471.456,4.235,6.4,1.858,48.911,4208.883,87.87
360.756,5.195,6.63,3.4,79.379,4024.08,86.005
44.063,1.618,7.877,3.966,79.974,4428.307,88.969
423.159,1.087,6.434,1.995,34.293,4409.357,89.077
366.15,2.896,6.327,2.029,1.403,4399.111,89.846
305.473,7.095,8.319,2.53,86.119,4199.18,88.259
410.146,5.883,7.722,1.266,19.279,4407.835,90.65
202.055,4.801,7.183,4.672,87.003,4035.989,85.93
110.751,5.715,6.237,3.675,62.212,4090.728,87.0
256.012,5.593,8.129,2.451,63.84,4332.521,89.365
274.421,3.07,6.271,1.05,25.475,4480.361,90.47
269.163,0.975,7.528,4.32,40.858,4355.764,88.441
282.537,8.968,7.669,2.677,31.897,4145.794,88.829
474.352,5.999,7.0,4.086,19.844,4014.617,86.747
451.123,6.977,8.278,0.65,72.726,4342.889,89.795
437.859,4.64,6.127,1.731,10.488,4267.626,88.963
400.708,7.565,8.045,3.299,51.685,4092.622,87.679
471.714,5.845,7.384,2.696,54.065,4132.648,87.539
49.247,0.538,7.528,1.828,95.583,4627.328,90.479
132.562,8.901,8.467,1.405,87.07,4320.729,90.007
247.528,3.055,7.457,1.858,49.677,4483.96,90.259
423.267,1.379,7.993,3.841,84.574,4265.477,87.223
252.583,0.88,6.384,1.327,79.267,4476.868,89.24
374.017,7.204,8.023,3.172,3.762,4230.354,89.427
69.48,7.04,7.903,2.407,92.292,4278.305,88.972
126.207,7.002,8.42,3.934,69.103,4197.271,88.382
365.888,9.158,8.339,1.407,67.523,4217.332,89.245
82.367,3.489,6.535,1.715,71.635,4423.032,89.561
175.678,5.611,7.162,2.294,23.251,4371.916,90.17
132.433,6.195,8.279,1.25,3.888,4619.171,93.011
174.931,9.795,7.602,2.575,23.952,4177.542,89.474
354.162,3.123,7.159,2.372,79.663,4286.122,88.002
183.924,9.563,6.272,4.955,60.134,3741.3,84.681
277.632,1.487,6.879,3.172,36.767,4383.985,88.918
49.966,7.64,7.663,0.813,24.91,4528.248,92.325
402.509,6.329,7.942,2.57,80.183,4159.191,87.689
184.944,8.169,7.118,4.453,46.329,3972.888,86.716
324.267,0.287,6.14,4.4,61.563,4174.314,86.214
362.695,0.781,7.583,4.828,2.245,4350.579,88.718
104.83,0.697,8.304,4.524,43.563,4503.603,89.809
442.337,5.93,7.241,1.293,2.528,4372.063,90.474
308.112,6.029,8.321,0.516,78.955,4467.065,90.69
214.363,9.061,6.885,3.273,25.676,4049.626,87.958
91.168,4.676,8.216,3.661,17.545,4441.016,90.638
471.15,0.68,7.966,1.09,92.713,4532.514,89.602
377.534,2.095,8.404,1.251,2.783,4716.262,92.763
104.012,0.081,7.978,4.834,20.584,4517.16,89.99
168.855,7.767,6.804,4.747,24.808,3983.244,86.915
404.837,8.156,8.251,1.206,82.458,4229.371,88.916
347.839,9.979,7.674,1.612,71.298,4090.793,88.189
382.892,4.122,6.405,4.515,96.773,3897.976,84.249
220.601,0.193,6.115,2.457,69.791,4406.213,88.422
358.238,2.347,6.915,4.091,24.396,4237.054,87.831
193.247,5.878,7.967,2.282,17.517,4442.981,91.018
105.631,9.619,7.546,3.814,75.785,3987.824,87.006
316.339,1.036,7.318,2.286,90.189,4412.873,88.538
